LoID,lat,long,Time,Location,Temp_Min,Temp_25th%,Temp_50th%,Temp_75th%,Temp_Max ,Turbidity_Min,Turbidity_25th%,Turbidity_50th%,Turbidity_75th%,Turbidity_Max ,Ecoli_Min,Ecoli_25th%,Ecoli_50th%,Ecoli_75th%,Ecoli_Max ,,,
15,-37.9936472,145.1697405,2013,"Mile Creek at Cheltenham Road, Keysborough",-,-,-,-,- ,-,-,-,-,-,-,-,-,-,-,,,
15,-37.9936472,145.1697405,2012,"Mile Creek at Cheltenham Road, Keysborough",14.50 ,16.10 ,16.90 ,17.40 ,18.10 ,5.00 ,15.00 ,20.00 ,22.00 ,28.00 ,-,-,-,-,-,,,
15,-37.9936472,145.1697405,2011,"Mile Creek at Cheltenham Road, Keysborough",19.80 ,19.90 ,19.90 ,21.00 ,22.00 ,4.00 ,9.00 ,15.00 ,26.00 ,36.00 ,240.00 ,470.00 ,700.00 ,3600.00 ,6500.00 ,,,
15,-37.9936472,145.1697405,2010,"Mile Creek at Cheltenham Road, Keysborough",10.00 ,11.80 ,15.50 ,19.40 ,22.00 ,4.00 ,6.00 ,10.00 ,12.00 ,16.00 ,40.00 ,120.00 ,200.00 ,605.00 ,1400.00 ,,,
15,-37.9936472,145.1697405,2009,"Mile Creek at Cheltenham Road, Keysborough",10.50 ,12.50 ,15.70 ,19.20 ,23.40 ,3.00 ,4.00 ,9.00 ,15.00 ,51.00 ,40.00 ,215.00 ,330.00 ,915.00 ,3700.00 ,,,
16,-37.9055182,145.2652083,2013,"Monbulk Creek at a track off Karoo Road, Rowville",7.20 ,12.60 ,13.90 ,15.00 ,21.50 ,20.00 ,29.00 ,34.00 ,38.00 ,56.00 ,110.00 ,232.00 ,490.00 ,690.00 ,1800.00 ,,,
16,-37.9055182,145.2652083,2012,"Monbulk Creek at a track off Karoo Road, Rowville",8.50 ,11.60 ,13.20 ,15.90 ,20.00 ,20.00 ,30.00 ,34.00 ,52.00 ,180.00 ,180.00 ,230.00 ,305.00 ,343.00 ,540.00 ,,,
16,-37.9055182,145.2652083,2011,"Monbulk Creek at a track off Karoo Road, Rowville",7.10 ,10.30 ,13.60 ,15.30 ,21.50 ,17.00 ,23.00 ,28.00 ,42.00 ,68.00 ,60.00 ,220.00 ,240.00 ,740.00 ,9200.00 ,,,
16,-37.9055182,145.2652083,2010,"Monbulk Creek at a track off Karoo Road, Rowville",8.00 ,10.00 ,14.60 ,18.40 ,21.00 ,16.00 ,26.00 ,41.00 ,50.00 ,360.00 ,80.00 ,235.00 ,700.00 ,1700.00 ,5700.00 ,,,
16,-37.9055182,145.2652083,2009,"Monbulk Creek at a track off Karoo Road, Rowville",9.70 ,11.70 ,13.50 ,17.20 ,19.90 ,4.00 ,14.00 ,29.00 ,40.00 ,120.00 ,40.00 ,148.00 ,250.00 ,1525.00 ,6200.00 ,,,
17,-38.0109596,145.1013108,2013,"Mordialloc Creek at Wells Road, Mordialloc",10.30 ,12.00 ,14.40 ,18.40 ,23.00 ,7.00 ,25.00 ,29.00 ,39.00 ,58.00 ,170.00 ,380.00 ,800.00 ,2500.00 ,6100.00 ,,,
17,-38.0109596,145.1013108,2012,"Mordialloc Creek at Wells Road, Mordialloc",9.40 ,12.40 ,15.50 ,17.90 ,23.20 ,9.00 ,28.00 ,36.00 ,44.00 ,97.00 ,63.00 ,88.00 ,150.00 ,313.00 ,780.00 ,,,
17,-38.0109596,145.1013108,2011,"Mordialloc Creek at Wells Road, Mordialloc",10.20 ,12.80 ,16.10 ,21.00 ,22.00 ,10.00 ,22.00 ,37.00 ,41.00 ,52.00 ,130.00 ,260.00 ,370.00 ,745.00 ,6500.00 ,,,
17,-38.0109596,145.1013108,2010,"Mordialloc Creek at Wells Road, Mordialloc",9.00 ,11.60 ,16.10 ,20.80 ,22.90 ,20.00 ,36.00 ,43.00 ,48.00 ,65.00 ,20.00 ,295.00 ,510.00 ,730.00 ,50000.00 ,,,
17,-38.0109596,145.1013108,2009,"Mordialloc Creek at Wells Road, Mordialloc",10.30 ,13.20 ,17.30 ,20.90 ,24.80 ,7.00 ,14.00 ,24.00 ,33.00 ,52.00 ,10.00 ,60.00 ,150.00 ,620.00 ,1600.00 ,,,
18,-38.0373707,145.1870226,2013,"National Water Sports Centre outlet, Bangholme",10.30 ,12.10 ,14.60 ,17.90 ,23.60 ,36.00 ,44.00 ,52.00 ,62.00 ,75.00 ,5.00 ,150.00 ,325.00 ,785.00 ,6500.00 ,,,
18,-38.0373707,145.1870226,2012,"National Water Sports Centre outlet, Bangholme",9.80 ,12.30 ,15.70 ,18.70 ,21.70 ,33.00 ,36.00 ,47.00 ,60.00 ,160.00 ,41.00 ,58.00 ,115.00 ,233.00 ,960.00 ,,,
18,-38.0373707,145.1870226,2011,"National Water Sports Centre outlet, Bangholme",9.50 ,11.50 ,16.30 ,20.40 ,22.50 ,23.00 ,41.00 ,61.00 ,79.00 ,88.00 ,10.00 ,60.00 ,120.00 ,1150.00 ,45000.00 ,,,
18,-38.0373707,145.1870226,2010,"National Water Sports Centre outlet, Bangholme",10.00 ,11.60 ,15.40 ,19.50 ,22.00 ,24.00 ,31.00 ,36.00 ,53.00 ,72.00 ,40.00 ,95.00 ,150.00 ,270.00 ,1500.00 ,,,
18,-38.0373707,145.1870226,2009,"National Water Sports Centre outlet, Bangholme",10.20 ,12.30 ,17.70 ,21.50 ,24.40 ,11.00 ,20.00 ,26.00 ,33.00 ,82.00 ,10.00 ,38.00 ,70.00 ,85.00 ,100.00 ,,,
19,-37.6995991,144.8364406,2013,"Arundel Creek at Annandale Road, Keilor",-,-,-,-,- ,-,-,-,-,-,-,-,-,-,-,,,
19,-37.6995991,144.8364406,2012,"Arundel Creek at Annandale Road, Keilor",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
19,-37.6995991,144.8364406,2011,"Arundel Creek at Annandale Road, Keilor",13.00 ,15.30 ,17.00 ,19.30 ,23.00 ,4.00 ,5.00 ,18.00 ,34.00 ,47.00 ,160.00 ,265.00 ,330.00 ,545.00 ,1100.00 ,,,
19,-37.6995991,144.8364406,2010,"Arundel Creek at Annandale Road, Keilor",9.00 ,11.80 ,15.00 ,21.10 ,26.00 ,2.00 ,6.00 ,13.00 ,30.00 ,72.00 ,10.00 ,75.00 ,160.00 ,440.00 ,1800.00 ,,,
19,-37.6995991,144.8364406,2009,"Arundel Creek at Annandale Road, Keilor",8.00 ,12.00 ,14.00 ,18.10 ,22.00 ,3.00 ,6.00 ,8.00 ,11.00 ,14.00 ,10.00 ,120.00 ,160.00 ,320.00 ,4400.00 ,,,
20,-37.4285055,144.6160327,2013,"Barringo Creek at Wooling Road, Macedon",7.00 ,8.40 ,11.50 ,14.30 ,17.70 ,2.00 ,3.00 ,4.00 ,5.00 ,7.00 ,5.00 ,83.00 ,165.00 ,260.00 ,1200.00 ,,,
20,-37.4285055,144.6160327,2012,"Barringo Creek at Wooling Road, Macedon",7.50 ,8.40 ,10.40 ,11.30 ,16.00 ,3.00 ,5.00 ,7.00 ,8.00 ,30.00 ,63.00 ,75.00 ,170.00 ,650.00 ,3300.00 ,,,
20,-37.4285055,144.6160327,2011,"Barringo Creek at Wooling Road, Macedon",7.00 ,9.30 ,11.50 ,14.50 ,19.80 ,5.00 ,6.00 ,8.00 ,13.00 ,69.00 ,10.00 ,30.00 ,60.00 ,130.00 ,9300.00 ,,,
20,-37.4285055,144.6160327,2010,"Barringo Creek at Wooling Road, Macedon",7.00 ,9.50 ,12.00 ,15.30 ,22.00 ,3.00 ,4.00 ,6.00 ,10.00 ,13.00 ,10.00 ,15.00 ,80.00 ,170.00 ,300.00 ,,,
